,Unnamed: 0,id,agent,knowledge,tags,step
0,0,1,code_act,"When adding a conditional configuration block to a Makefile (such as for FFTW/MKL), always insert the entire construct: the `ifeq` line, all variable assignments, and the matching `endif`.  Skipping any part can cause the make logic to fail silently.  Use a unified diff with context lines to preserve surrounding content.","[""shell"", ""ls"", ""context""]",<2
1,1,2,code_act,"In the gyrokinetic code, the `run/Makefile` must contain the full conditional block that sets the compiler include path and linker flags for the FFTW/MKL backend:

```
ifeq ($(FFT),gkvp_fft_fftw)
  INC = -I$(MKLROOT)/include/fftw
  LIB = -L$(MKLROOT)/lib -qmkl=sequential
endif
```

This block must be present immediately after the line that sets `FFT = gkvp_fft_fftw`.  If omitted, the build will silently succeed but the executable will lack the necessary FFT symbol definitions, causing runtime errors or incorrect physics.  Ensure `MKLROOT` is exported (e.g. by `module load intel/...`).","[""shell"", ""pwd"", ""sanity-check""]",<2
2,2,3,code_act,"When adding an object file like `$(FILEIO).o` to a multi‑line `OBJS` assignment in a Makefile, keep the existing line‑continuation backslashes. Insert the new line immediately after the last file whose line ends with a backslash. If the preceding line already has a trailing backslash, simply add the new line without an extra backslash. If it does not, add a backslash before the new entry to maintain the continuation. Preserve the original indentation. This guarantees that `make` correctly parses the list and links the required implementation.","[""shell"", ""rg"", ""search""]",<2
3,3,4,code_act,"When editing Fortran source such as `src/gkvp_fft_fftw.f90`, ensure that the module explicitly `USE`s the MKL FFT interface (e.g., `USE MKL_FFT`) if it wasn’t already present. This guarantees that the compiler knows about the MKL FFT procedures and that name mangling is handled correctly.","[""shell"", ""rg"", ""inventory""]",<2
4,4,5,code_act,"To confirm that the chosen file‑I/O implementation is actually compiled, inspect the compilation logs for the source file that corresponds to the current value of `FILEIO` (e.g., `gkvp_fileio_zarr.f90`). The presence of a line like `gfortran … -c gkvp_fileio_zarr.f90 -o $(FILEIO).o` indicates the source was compiled.","[""shell"", ""rg"", ""fortran""]",<2
5,5,6,code_act,"To re‑enable a removed &vmecp namelist, insert it exactly between the &ring section and the &bozxf line. Use a unified‑diff hunk: start with `*** Begin Patch`, end with `*** End Patch`. Include each parameter line with a trailing comma and close the block with `&end`. Only one &vmecp section should exist. Example:
*** Begin Patch
*** Update File: run/gkvp_namelist
@@
 &end
+&vmecp
+    s_input   = 0.5d0,
+    nss       = 501,
+    ntheta    = 384,
+    nzeta     = 0,
+&end
*** End Patch.","[""shell"", ""rg"", ""call-graph""]",<2
6,6,7,code_act,"When the local magnetic‑field normalization `bb` is missing in a gyrokinetic code, the normalization used by many geometry and velocity‑scaling routines breaks, leading to NaNs or divergent results for `ubr`, `ubz`, and metric tensors. Re‑insert the following line immediately after computing the reference field `b0 = bfld_magb(1_DP, 0_DP)` in `src/gkvp_ring.f90`:

```
bb = bfld_magb(r, z) / b0
```

*Why this fixes the problem*:
- `bfld_magb(r, z)` returns the local magnetic‑field magnitude.
- Dividing by the reference field `b0` normalizes it, restoring the expected normalisation used throughout the code.
- With `bb` computed, downstream routines compute correct geometric factors and velocity scales.

After editing, recompile and run a sanity check: call `ring_coordinates` at a known location and confirm that `bb` is non‑zero and matches `bfld_magb(r,z)/b0` directly. Verify that quantities such as `ubr`, `ubz`, and metric components are finite and physically reasonable.","[""shell"", ""rg"", ""config""]",<2
7,7,8,code_act,"If the perpendicular‑velocity representation has broken because the arrays `vp`, `mir`, and `mu` were removed from the module, re‑introduce them with the declaration

    real(kind=DP), dimension(-nz:nz-1,0:nm) :: vp, mir, mu

as part of the vp‑mu block in `src/gkvp_header.f90`. Restoring these arrays restores the full set of vp‑mu operators and eliminates runtime errors that arise from missing symbols.","[""shell"", ""head"", ""preview""]",<2
8,8,9,code_act,"To apply a patch file interactively, wrap the diff in a single‑quoted heredoc to prevent shell expansion:

```bash
apply_patch <<'PATCH'
<unified diff contents>
PATCH
```

The single quotes around `PATCH` protect special characters (e.g., backslashes, dollar signs, Fortran continuation). Always verify the resulting diff with `git diff` before compiling.","[""shell"", ""tail"", ""sanity-check""]",<2
9,9,10,code_act,"If ripgrep (rg) is unavailable, use the built‑in Git search: `git grep -n ""pattern"" [--pathspec]`. The `-n` flag provides line numbers, simplifying navigation and enabling automated edits.","[""shell"", ""wc"", ""metrics""]",<2
10,10,11,code_act,"In `subroutine zfilter_buffout`, the negative‑z halo for `rankz==0` must restore the physical boundary logic. Inside the innermost loop, after any existing index calculations, insert:

```fortran
      mwn = mx + dj(my)                 ! Shift mode for negative‑z
      if (abs(mwn) <= nx) then
        ww(mx,my,-nz-nzb+iz,iv) = ck(my) * zb2_bottom(mwn,my,iz,iv)
      else
        ww(mx,my,-nz-nzb+iz,iv) = (0._DP,0._DP)
      endif
```

`dj` and `ck` are module scalars already in scope. This code re‑applies the mode shift and the coefficient scaling, ensuring correct physical wrapping at the low‑z boundary and restoring the intended behaviour.","[""shell"", ""sed"", ""preview""]",<2
11,11,12,code_act,"In Fortran, array indices are 1‑based. The gvfunc array is indexed as `gvfunc(v_pos, m_pos, i_ang, j_ang, i_ion, i_el)`. Ensure the indices in the reinstated block match this ordering, otherwise the moments computed by `collision_full_calc_moment` will be incorrect.","[""shell"", ""git"", ""diff""]",<2
12,12,13,code_act,"After applying the patch, rebuild the project and run a small test script. Inspect the output of `moment_ab` produced by `collision_full_calc_moment`; a non‑zero, physically plausible value confirms that the restored gvfunc table is now used correctly, restoring the intended Sugama collision physics.","[""shell"", ""git"", ""status""]",<2
13,13,14,code_act,"Use `rg -n '#if|#ifdef' -g '*.[Ff]90'` to identify conditional compilation sections in Fortran sources, ensuring that code paths critical to physics (e.g., fld_hh2ff calls) are included when compiling.","[""shell"", ""rg"", ""preprocessor""]",<2
14,14,15,code_act,"Find constants with `rg -n ""parameter"" -g '*.f90'` to locate default values.","[""shell"", ""rg"", ""constants""]",<2
15,15,16,code_act,Use a short Python regex to list subroutine/module names so you can map the file structure quickly.,"[""python"", ""parsing"", ""fortran""]",<2
16,16,17,code_act,"A compact Python helper to list line numbers of assignments to a target variable:
```python
import re
pattern = re.compile(rf""^\s*{re.escape(var)}\s*="")
with open(filename) as f:
    for lineno, line in enumerate(f, 1):
        if pattern.search(line):
            print(lineno, line.rstrip())
```
Replace `var` with the variable name and `filename` with the source file. This prints every line where the variable appears on the left-hand side of an assignment.","[""python"", ""search"", ""variables""]",<2
17,17,18,code_act,Use Python to extract and print a specific block (between two markers) when the file is large.,"[""python"", ""parsing"", ""context""]",<2
18,18,19,code_act,Use Python to scan `call` statements across files and build a quick caller list for a routine.,"[""python"", ""call-graph"", ""analysis""]",<2
19,19,20,code_act,"To obtain a minimal unified diff without context, use `git diff -U0` or Python’s `difflib`. Example:
```
git diff -U0 old_file.f90 new_file.f90
```
The `-U0` flag removes context lines, yielding only the changed lines. This is handy when generating patches for review.","[""python"", ""diff"", ""analysis""]",<2
20,20,21,code_act,"Search namelist or input parameters with `rg -n ""&"" -g '*.nml'` or `rg -n ""namelist""` to trace runtime flags.","[""shell"", ""rg"", ""runtime""]",<2
21,21,22,code_act,List relevant configs with `rg --files -g '*.nml' -g '*.in'` so you know where inputs live.,"[""shell"", ""rg"", ""config""]",<2
22,22,23,code_act,"Use `rg -n ""TODO|FIXME""` to see if there are hints about known issues.","[""shell"", ""rg"", ""context""]",<2
23,23,24,code_act,Use Python to count how often a symbol appears per file to prioritize where to inspect first.,"[""python"", ""metrics"", ""analysis""]",<2
24,24,25,code_act,"Verify you modified the intended file by comparing checksums before and after editing:
```
md5sum path/to/file
```
or in Git:
```
git hash-object file
```
The MD5 change confirms the file contents changed. Keep the checksum comparison in your patch checklist.","[""shell"", ""md5sum"", ""integrity""]",<2
25,25,26,think,"This reasoning path seems off. Step back, restate the objective, and try a different approach.","[""reasoning"", ""course-correct""]",<2
26,26,27,think,You're leaning on an assumption without evidence. Verify it against the repo or logs before continuing.,"[""reasoning"", ""verification""]",<2
27,27,28,think,"If the patch appears to be applied but the file still lacks the `open` call, open the file manually and search for `unit=ophifun`. Confirm that the line is present, correctly formatted, and follows the filename construction. If absent, re‑apply the patch with proper hunk boundaries.","[""reasoning"", ""course-correct""]",<2
28,28,29,code_act,"File names on Unix are case‑sensitive. To avoid missing a file due to a spelling or case mistake, list candidates with `git ls-files | grep -i bndry`. The correct boundary routine in this project is `src/gkvp_bndry.f90`; avoid non‑existent names such as `bndry_zv_sendrecv.f90`.","[""code_act"", ""course-correct""]",<2
29,29,30,code_act,"When re‑adding a missing call to a subroutine, insert it immediately after the data that it will operate on and before any code that relies on the updated values. Ensure the called routine’s interface is visible in the scope—via a `USE` statement or module definition—so the compiler can resolve argument lists and types. This guarantees the downstream physics calculations receive the correct, updated information.","[""code_act"", ""search"", ""course-correct""]",<2
30,30,31,code_act,"Immediately after any Runge–Kutta routine that updates a Fourier‑space field (e.g., `rkg`, `rkg_step`, or higher‑level wrappers), call `call tips_reality(hh)` or the equivalent routine that enforces `hh(k) = conjg(hh(-k))`.  This restores Hermitian symmetry before any diagnostics, clocking, or transforms that assume a real field, preventing subtle phase drift that can corrupt long‑term simulations.","[""code_act"", ""inspect"", ""src""]",<2
31,31,32,code_act,"In `src/gkvp_zfilter.f90`, the halo exchange in `zfilter_sendrecv` must be reinstated using non‑blocking MPI calls. Add the following sequence within the subroutine:
```fortran
call MPI_irecv(zb2_top,    slngz, MPI_DOUBLE_COMPLEX, izup, 1, sub_comm_world, ireq(1), ierr_mpi)
call MPI_irecv(zb2_bottom, slngz, MPI_DOUBLE_COMPLEX, izdn, 2, sub_comm_world, ireq(2), ierr_mpi)
call MPI_isend( zb1_bottom, slngz, MPI_DOUBLE_COMPLEX, izdn, 1, sub_comm_world, ireq(3), ierr_mpi)
call MPI_isend( zb1_top,    slngz, MPI_DOUBLE_COMPLEX, izup, 2, sub_comm_world, ireq(4), ierr_mpi)
call MPI_waitall(4, ireq, istatus, ierr_mpi)
```
Ensure `ireq`, `istatus`, and `ierr_mpi` are declared locally (e.g., `integer, dimension(4) :: ireq, istatus`). `sub_comm_world` should be the communicator that spans the z‑direction so the halo data reaches neighbouring processors. Restoring this exchange re‑enables the physical coupling across processors, which was previously disabled, and allows the simulation to produce correct z‑decomposition results.","[""code_act"", ""inspect"", ""src""]",<2
32,32,33,code_act,"In the `isw == 0` branch, each MPI rank must receive the start‑time value via

```fortran
MPI_Bcast(sss0,1,MPI_DOUBLE_PRECISION,0,MPI_COMM_WORLD,ierr_mpi)
```

Omitting this broadcast leaves `sss0` undefined on non‑root ranks, which corrupts timing checks. Add the call on every rank.","[""code_act"", ""inspect"", ""src""]",<2
33,33,34,code_act,"In the routine `colli_LB_buffin` (src/gkvp_colli.f90), the coefficient **cs1** controls the coupling of the FLR potential terms `phi*j0` to the buffer inputs `vb1` and `mb1`. It must be computed **immediately after** its declaration and **before** any OpenMP parallel loops that reference it. The correct statement is:

```fortran
cs1 = sgn(ranks) * Znum(ranks) / tau(ranks) * real(iFLR, kind=DP)
```

*`sgn(ranks)`* ensures the correct sign of the electric field contribution for the current MPI rank, *`Znum(ranks)`* supplies the species charge number, *`tau(ranks)`* is the temperature ratio, and *`iFLR`* indicates whether FLR corrections are active. Omitting this assignment removes the potential‑coupling term, breaking the physical consistency of the collision operator. Restoring it reinstates the correct FLR corrections in the gyro‑kinetic simulation.","[""code_act"", ""inspect"", ""src""]",<2
34,34,35,code_act,"In the subroutine `colli_LB_calc`, the complete expression that assigns to `cf(mx,my,iz,iv,im)` must always finish with the term `- cflr * ksq(mx,my,iz) * gg(iv,im,mx,my)`. The statement usually spans multiple lines, so put the FLR damping at the very end before the line‑continuation ampersand. For example:

```fortran
cf(mx,my,iz,iv,im) = \
    … \
    - cflr * ksq(mx,my,iz) * gg(iv,im,mx,my) & ! FLR damping
```

* The `&` must be the last character on the line; if a comment follows it, the comment must come after the `&`.
* Never duplicate the `- cflr * ksq …` term; inserting it in the middle of an existing line would double the factor.
* Recompile after the change and run a test case that is sensitive to FLR damping (e.g., a mode that should decay at the correct rate) to verify that the physics is restored.

Key steps:
1. Search for the line that contains `cf(` inside `colli_LB_calc`.
2. Append the FLR term as the final part of the mathematical expression.
3. Use a trailing `&` for line continuation and place the comment after the `&`.
4. Ensure the line does not already contain a second FLR term.
5. Rebuild the package and validate with a test that illustrates FLR damping.","[""code_act"", ""inspect"", ""src""]",<2
35,35,36,code_act,"['When revising the Fortran source for the Sugama operator, ensure that the *gy_fld* block (field‑particle part) is present immediately after any assignments to *gx_tst* in the subroutine *colliimp_set_param*.', '', '**Location**: in both `src/gkvp_colliimp.f90` and `src/gkvp_colliimp_SoA.f90` the block must appear right after the line that assigns `gx_tst`.  The absence of this block removes the field‑particle contribution from both `collision_full_CF` and `DT` and also fails to zero out the coefficients for tracer species (`fcs == 0`).', '', '**Corrected Form**:', '', '```fortran', '! Compute gy_fld – field‑particle part of the Sugama operator', 'if (fcs(ia) == 0._DP .or. fcs(ib) == 0._DP) then', '  gy_fld(1:6,iv,im,ia,ib,iz) = 0._DP   ! tracer species', 'else', '  gy_fld(1,iv,im,ia,ib,iz) = -(fcs(ib)/Znum(ib))/(fcs(ia)/Znum(ia)) * &', '    calpha(ia,ib)*Anum(ia)*tau(ib)*ctheta(ia,ib)*ctheta(ib,ia)/tau(ia)/cgamma(ia,ib) * &', '    (gc_t01 - cxi(ia,ib)*gfmx(iv,im,iz)*gvl(iv))', '  gy_fld(2,iv,im,ia,ib,iz) = gy_fld(1,iv,im,ia,ib,iz)*gvp(im,iz)/gvl(iv)', '  gy_fld(3,iv,im,ia,ib,iz) = -(fcs(ib)/Znum(ib))/(fcs(ia)/Znum(ia))* &', '    tau(ib)*ctheta(ia,ib)*ctheta(ib,ia)/ceta(ia,ib)* &', '    (gc_t02 - cxi(ia,ib)/(1._DP+calpha(ia,ib)**2)*gfmx(iv,im,iz)*(2._DP*gxxa**2-3._DP))', '  gy_fld(4,iv,im,ia,ib,iz) = -gy_fld(1,iv,im,ia,ib,iz)*cxi(ib,ia)', '  gy_fld(5,iv,im,ia,ib,iz) = -gy_fld(2,iv,im,ia,ib,iz)*cxi(ib,ia)', '  gy_fld(6,iv,im,ia,ib,iz) = -gy_fld(3,iv,im,ia,ib,iz)*2._DP*cxi(ib,ia)/(1._DP+calpha(ib,ia)**2)', 'end if', '```', '', '**Why it matters**: Restoring this block guarantees that the field‑particle terms are injected into the collision operator and ensures that any species with zero density (tracers) Receive zero field‑particle coefficients, preserving the correct physics.']","[""code_act"", ""inspect"", ""src""]",<2
36,36,37,code_act,"In the Fortran module src/gkvp_dtc.f90, within subroutine dtc_cntrl, the nonlinear time‑step limiter must be recomputed at every control point (id==0).  After computing tout_dtc insert the conditional call:

    if (trim(calc_type) == 'nonlinear') call dtc_estimate

This restores the ExB CFL constraint calculation at each output/control moment, preventing the global time step dt from drifting incorrectly between adaptive steps.  Note that the relevant file is gkvp_dtc.f90 (not dtc.f90), and the call should be placed immediately after the tout_dtc statement inside the id==0 branch.","[""code_act"", ""inspect"", ""src""]",<2
37,37,38,code_act,"When a regression removes the packing of `psi` into `wc3o` (i.e. the call `exb_pack_psi_y2zm(psi,wc3o)`), the routine must be re‑inserted in the overlap pipeline `exb_NL_term_y2zm` of `src/gkvp_exb.f90`. Add the statement immediately after the `!$OMP barrier` and before the first transpose (`exb_transpose_y2zm(wc3o,wc4o)`). This restores thread‑synchronised packing and ensures the packed buffer is correctly prepared for the subsequent FFT, preserving accurate ExB streaming physics.","[""code_act"", ""inspect"", ""src""]",<2
38,38,39,code_act,Investigate src/gkvp_f0.56_advnc_tune_nec1.f90. This file is about tuned f0.56/NEC1 advance logic with flux-surface and field-line averages.,"[""code_act"", ""inspect"", ""src""]",<2
39,39,40,code_act,"When a patch does not apply, confirm the target file exists, verify the file path and case‑sensitivity, and ensure that the context lines match the current file. Adding context lines before and after the change helps the patch matcher locate the correct spot.","[""code_act"", ""inspect"", ""src""]",<2
40,40,41,code_act,Investigate src/gkvp_f0.56_colli_tune_nifs.f90. This file is about a tuned collision operator for f0.56/NIFS.,"[""code_act"", ""inspect"", ""src""]",<2
41,41,42,code_act,Investigate src/gkvp_f0.56_exb_tune2r_0813.f90. This file is about a tuned E x B term implementation.,"[""code_act"", ""inspect"", ""src""]",<2
42,42,43,code_act,"In the `fft_pre` subroutine of `src/gkvp_fft_fftw.f90`, a forward Y‑direction FFT (real→complex) must have an explicit plan. This is obtained with:

```fortran
call dfftw_plan_dft_r2c_1d(
    plan_y_forward, (2*nyw), wk2_y_r, wk1_y_z, FFTW_MEASURE
)
```

Insert this call immediately after zeroing the real buffer (`wk2_y_r(:) = 0._DP`) and before the backward transform. The plan is necessary for the forward `dfftw_plan_dft_c2r_1d` to succeed; without it, forward Y FFTs fail, disrupting the gyrokinetic physics.","[""code_act"", ""inspect"", ""src""]",<2
43,43,44,code_act,"In `fft_pre`, when `USE_TERM_Y2ZM` is false, all four many‑FFT plans must be created for each `i`: backward X→Y, backward Y→R, forward Y→R, and forward X→R. If any of these `planr_*` plans are missing, the code will invoke an uninitialised plan, breaking the physics simulation. Restoring the four calls restores correct backward transforms in X.","[""code_act"", ""inspect"", ""src""]",<2
44,44,45,code_act,"When correcting the FFT plan regression in `fft_pre`, edit `src/gkvp_f0.56_fft_fftw_tune2r_0813.f90`. Locate the `#else` branch of the `tune2r` block, inside the loop `do i = 0, nplan-1`. Ensure the four `dfftw_plan_many_*` calls are present: `planr_xb_y2zm`, `planr_yb_y2zm`, `planr_yf_y2zm`, and `planr_xf_y2zm`. Insert any missing calls immediately before the `end do`. After editing, run a quick `git diff`, rebuild with `-Wall -Wextra`, and execute a Y→X test to confirm that the plans are created and used correctly.","[""code_act"", ""inspect"", ""src""]",<2
45,45,46,code_act,"If a search for `.not. USE_TERM_Y2ZM` yields no matches, the flag or its branch may have been renamed or removed.  Inspect the `tune2r` section and identify the block that selects the Y→X transform path.  Add the four `planr_*` many‑FFT calls into that block, conditioned on the logical condition that enables the Y→X branch.","[""code_act"", ""inspect"", ""src""]",<2
46,46,47,code_act,"When `vp_coord` equals 1 the NetCDF output must include a velocity‑space dimension called **vp**. The dimension is created inside the file‑definition routine, and the code should use an `if ( vp_coord == 1 ) then … else … end if` block:

```fortran
if ( vp_coord == 1 ) then
  ierr_nf90 = nf90_def_dim( ncid=ocnt_nc, name='vp', \
                            len=int(global_nm+1,kind=4), dimid=dimids(5) )
else
  ierr_nf90 = nf90_def_dim( ncid=ocnt_nc, name='mu', \
                            len=int(global_nm+1,kind=4), dimid=dimids(5) )
end if
```

The **vp** dimension represents the perpendicular‑velocity grid and is only valid when the simulation is run in velocity coordinates.  When `vp_coord` is not 1, the magnetic‑moment variable **mu** should be used instead.  Defining the wrong dimension causes the generated NetCDF file to lack the required `vp` coordinate, leading to inconsistencies between the simulation data and the metadata.  Restoring this conditional ensures the physics convention (velocity coordinates vs magnetic‑moment coordinates) is preserved and that the output file can be read correctly by downstream analysis tools.","[""code_act"", ""inspect"", ""src""]",<2
47,47,48,code_act,Investigate src/gkvp_fileio_zarr.f90. This file is about the Zarr output backend in the file I/O module.,"[""code_act"", ""inspect"", ""src""]",<2
48,48,49,code_act,Investigate src/gkvp_fld.f90. This file is about the field solver.,"[""code_act"", ""inspect"", ""src""]",<2
49,49,50,code_act,Investigate src/gkvp_freq.f90. This file is about linear growth rates and real frequencies without shear flows.,"[""code_act"", ""inspect"", ""src""]",<2
50,50,51,code_act,Investigate src/gkvp_geom.f90. This file is about geometric constants.,"[""code_act"", ""inspect"", ""src""]",<2
51,51,52,code_act,Investigate src/gkvp_header.f90. This file is about common headers and shared parameters for the fluxtube code.,"[""code_act"", ""inspect"", ""src""]",<2
52,52,53,code_act,Investigate src/gkvp_igs.f90. This file is about magnetic field components and metric coefficients from MEUDAS or G-EQDSK using IGS.,"[""code_act"", ""inspect"", ""src""]",<2
53,53,54,code_act,Investigate src/gkvp_intgrl.f90. This file is about flux-surface/field-line averages and velocity-space integrals.,"[""code_act"", ""inspect"", ""src""]",<2
54,54,55,code_act,"The file `src/gkvp_main.f90` contains the main program that orchestrates the simulation loop. It calls key subroutines such as `advnc_rkgsteps_rev`, `fld_emfield_hh`, and `fld_hh2ff`. Before editing other modules, confirm that these routines are present and correctly linked, so that changes in other files do not break the program’s call chain.","[""code_act"", ""inspect"", ""src""]",<2
55,55,56,code_act,Investigate src/gkvp_mpienv.f90. This file is about MPI environment headers and settings.,"[""code_act"", ""inspect"", ""src""]",<2
56,56,57,code_act,Investigate src/gkvp_out.f90. This file is about data writing outputs.,"[""code_act"", ""inspect"", ""src""]",<2
57,57,58,code_act,Investigate src/gkvp_ring.f90. This file is about ring-geometry helpers and elliptic integral utilities.,"[""code_act"", ""inspect"", ""src""]",<2
58,58,59,code_act,Investigate src/gkvp_set.f90. This file is about reading namelist parameters and setting I/O.,"[""code_act"", ""inspect"", ""src""]",<2
59,59,60,code_act,Investigate src/gkvp_shearflow.f90. This file is about the shearflow convection term.,"[""code_act"", ""inspect"", ""src""]",<2
60,60,61,code_act,Investigate src/gkvp_tips.f90. This file is about shared utility helpers and tips.,"[""code_act"", ""inspect"", ""src""]",<2
61,61,62,code_act,Investigate src/gkvp_trans.f90. This file is about entropy transfer diagnostics.,"[""code_act"", ""inspect"", ""src""]",<2
62,62,63,code_act,Investigate src/gkvp_vmecbzx.f90. This file is about VMEC-based magnetic geometry using the BZX code.,"[""code_act"", ""inspect"", ""src""]",<2
63,63,64,code_act,Investigate src/gkvp_vmecin.f90. This file is about VMEC-based magnetic field and metric coefficients.,"[""code_act"", ""inspect"", ""src""]",<2
64,64,65,code_act,"The subroutine `zfilter_filtering` in `src/gkvp_zfilter.f90` computes a 5‑point stencil over the extended array `ww` to produce the filtered output `vv`. It uses predefined arrays `alph` and `ceff` as damping coefficients. The assignment
```
vv(mx,my,iz,iv) = (1._DP - alph) * ww(mx,my,iz,iv) + ceff * ( -ww(mx,my,iz+2,iv) +4._DP*ww(mx,my,iz+1,iv)+10._DP*ww(mx,my,iz,iv)+4._DP*ww(mx,my,iz-1,iv)-ww(mx,my,iz-2,iv) )
```
must remain in the loop for interior `iz`. Removing this line leaves `vv` unchanged and disables vertical filtering, losing the intended high‑k<sub>z</sub> damping.","[""code_act"", ""inspect"", ""src""]",<2
65,65,66,code_act,"Investigate run/Makefile. This file is about build configuration, compiler flags, and library selection.","[""code_act"", ""inspect"", ""run""]",<2
66,66,67,code_act,Investigate run/gkvp_namelist. This file is about runtime parameters and namelist settings.,"[""code_act"", ""inspect"", ""run""]",<2
67,67,68,code_act,Investigate run/shoot. This file is about batch job submission scripting for multi-run sweeps.,"[""code_act"", ""inspect"", ""run""]",<2
68,68,69,code_act,Investigate run/sub.q. This file is about HPC queue submission settings and environment setup.,"[""code_act"", ""inspect"", ""run""]",<2
69,69,70,code_act,"To diagnose a missing or failing namelist read, first locate the `READ(..., NML=namelist_name)` statement. Verify that the namelist comment block declares the same variable names and types as are later referenced. If a variable appears in the code but not in the namelist, or if its type differs (e.g., integer vs. real), the read will silently fail or assign defaults, leading to uninitialized parameters.","[""code_act"", ""inspect"", ""lib""]",<2
70,70,71,code_act,Investigate lib/gkvp_math_MKLNAG.f90. This file is about mathematical functions using MKL/NAG-style libraries.,"[""code_act"", ""inspect"", ""lib""]",<2
71,71,72,code_act,Investigate lib/gkvp_math_SSL2.f90. This file is about mathematical functions using the SSL2 library.,"[""code_act"", ""inspect"", ""lib""]",<2
72,72,73,code_act,Investigate lib/gkvp_math_portable.f90. This file is about portable mathematical helper functions.,"[""code_act"", ""inspect"", ""lib""]",<2
73,73,74,answer,"When reporting a fix, state the exact file/routine, list the added or restored lines, explain how it restores the intended behaviour (e.g., re‑enabling φ file output for diagnostics), and provide a concise validation step: compile, run a small test case, and check that the output file exists and contains plausible data.","[""answer"", ""clarity""]",
